Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,VideoURL,Image,Type,Premier Sponsor,Individuals,Description
A1,a1,5eb60836ccd7e737544d7d7a,5ec7c1aded30e49fc9e764bb,Fri May 22 2020 12:12:29 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:13:53 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:15:09 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec57a1107d5192deb37d33a_black%20image.jpg,Corporate,yes,marianne-bahr; fred-mahringer; johanna-wiener-makrandreou,"XYZ s an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware."
Accent,accent,5eb60836ccd7e737544d7d7a,5ec7c8a04279da4f624c349d,Fri May 22 2020 12:42:08 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:42:08 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:43:59 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec57a1107d5192deb37d33a_black%20image.jpg,Corporate,no,hans-herrman-hr-manager,"XYZ s an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware."
AWS,aws,5eb60836ccd7e737544d7d7a,5ec7d08cd9ba691004e0e316,Fri May 22 2020 13:15:56 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:15:56 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:16:49 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec57a1107d5192deb37d33a_black%20image.jpg,Corporate,yes,,"XYZ s an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware."
Bärnstein,baernstein,5eb60836ccd7e737544d7d7a,5eb609f1ca5bd6cd9fd23dae,Sat May 09 2020 01:40:01 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:35:58 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:40:15 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec694746bd168b9be6496b4_Bildschirmfoto%202020-05-21%20um%2016.45.59.png,Startup,no,lukas-renz,"Bärnstein is the first drink with green coffee and exquisite local ingredients from the St. Pölten start-up. With its caffeine, Bärnstein gives you the endurance you need every day. And it is also completely natural: Green coffee with the best Austrian ingredients results in a new, unique taste experience that is incomparable."
BDO,bdo,5eb60836ccd7e737544d7d7a,5eb609f18ea2149fbd6a5ebb,Sat May 09 2020 01:40:01 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:27:12 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:27:19 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec567fde057e565f856a18b_bdo_logo.png,Corporate,yes,pia-grosslich; magdalena-kaiser; martin-mertel; lukas-rackl; thomas-fischer,"Google LLC is an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware."
Beeanco,beeanco,5eb60836ccd7e737544d7d7a,5ec6a345c5c8553cbb41d1bf,Thu May 21 2020 15:50:29 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:32:40 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:40:15 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec6a332fbb94e197ceee288_Beeanco.png,Startup,no,marcus-rosenberger,"With beeanco we offer the most innovative online market place for a conscious lifestyle. Here you can find products and services in all categories (these range from furniture, clothing and toys to capital investments, electricity providers, etc.). You can be sure to find the most sustainable alternative on the market."
Bitpanda GmbH,bitpanda,5eb60836ccd7e737544d7d7a,5eb609f19bec97758a09767d,Sat May 09 2020 01:40:01 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:37:19 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:40:15 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec6988d302a5a99cdabb9b8_bitpanda-logo.jpg,Startup,no,sophie-leandra-noll; julia-bognar-peres; astrid-herrera,"At Bitpanda we are firm believers in the innovative power of cryptocurrencies, digitised assets and blockchain technology. Our mission is to tear down the barriers to personal finance and bring traditional financial products into the 21st century. Bitpanda is a fintech based in Vienna, Austria and has 1 million users and more than 160 team members. Bitpanda has grown into a popular trading platform for newbies and experts alike. Users can currently trade Bitcoin, Ethereum, gold and over 30 other digital assets."
Blue Monday Project,blue-monday-project,5eb60836ccd7e737544d7d7a,5eb609f18ea21493716a5eb9,Sat May 09 2020 01:40:01 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:35:41 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:40:15 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec6960b52c40e0478476f0f_Blue%20monday%20project.png,Startup,no,dennis-platzl,"Welcome to the Blue Monday Project. Where we motivate people to a more sustainable lifestyle. Our mission is to fill knowledge gaps in the field of sustainability, motivate individuals and companies to act sustainably in order to create a climate-neutral world. With the Blue Monday Project, we create a lifestyle. A sustainable lifestyle that is also made for our future. For the future of tomorrow."
Erste Bank,erste-bank-copy,5eb60836ccd7e737544d7d7a,5ec7d17de12b2758ad93b97d,Fri May 22 2020 13:19:57 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:21:22 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:21:27 GMT+0000 (Coordinated Universal Time),https://www.youtube.com/watch?v=WtAc56Edp9E,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec5586cbcad467c3c86baa1_Erste_Bank_Logo.svg.png,Corporate,yes,birgit-polster,"""Start Ups - Wir glauben an Euch! Ihr habt eine innovative Geschäftsidee, wollt schnell den Markt erobern und rasch wachsen?
Wir bieten Euch Informationen, Tools und Beratung zum optimalen Finanzierungs-Mix aus alternativen Finanzierungsformen, klassischen Bankfinanzierungsformen und Förderungen. Hier gibt es noch mehr Details: https://www.sparkasse.at/ erstebank/gruender/start-ups
"
General talk,general-talk,5eb60836ccd7e737544d7d7a,5ec7c8b14735d58b6f7d5922,Fri May 22 2020 12:42:25 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:42:25 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:43:59 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec7c84f2aa5ef3787e5bd14_pitch.png,Networking,no,ariane-hofer,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised"
Herbst Kinsky,herbst-kinsky,5eb60836ccd7e737544d7d7a,5ec7c61093a80f4b77884e19,Fri May 22 2020 12:31:12 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:16:41 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:16:49 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec57a1107d5192deb37d33a_black%20image.jpg,Corporate,no,david-pachernegg-xx,"XYZ s an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware."
Idea pitching,idea-pitching,5eb60836ccd7e737544d7d7a,5ec7c854e11432a53e8a7271,Fri May 22 2020 12:40:52 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:40:52 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:41:01 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec7c84f2aa5ef3787e5bd14_pitch.png,Networking,no,ariane-hofer,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised"
Joy - Get Better Together,joy-get-better-together,5eb60836ccd7e737544d7d7a,5ec6a15a10458dc803486fc3,Thu May 21 2020 15:42:18 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:37:44 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:40:15 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec6a0f71165a8ad88e97873_Joy%20Logo%20April%20PNG.png,Startup,no,manuel-gahn,"XYZ s an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware."
nxtBase technologies,nxtbase-technologies,5eb60836ccd7e737544d7d7a,5ec6a2ce100f5a7736409b48,Thu May 21 2020 15:48:30 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:33:49 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:40:15 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec6a270e5e18bf082d05c04_nxtBase.png,Startup,no,joerg-e-jonas-kops,"nxtBase is a German startup that has been specialising in Augmented Reality since 2013. Since its foundation nxtBase has been working on Smartglasses applications for intralogistics, production, quality management and support; with the clear goal: ""mobile, hands-free, voice-controlled applications and the development of a company internal knowledge management""."
OIDA Freizeit,oida-freizeit,5eb60836ccd7e737544d7d7a,5ec69f56439ea0fdb00dc1db,Thu May 21 2020 15:33:42 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:34:06 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:40:15 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec69f34b944457a5482bf5a_OIDA.png,Startup,no,franziska-holzmuller; niklas-wachtveitl-cfo,Are you also annoyed by the fact that you don't know what to do because of all the offers? You want to do the coolest and hippest activity? With us you will always find the right activity. Our app will help you to organize your leisure time better.
Rebel Meat,rebel-meat,5eb60836ccd7e737544d7d7a,5eb609f1580ee354432314ca,Sat May 09 2020 01:40:01 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:33:09 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:40:15 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec6953199a2e07d1f719d98_REBELMEAT.png,Startup,no,cornelia-habacher; philipp-stangl,"Rebel Meat develops delicious meat-reduced products from natural ingredients - 100% organic, 100% from Austria. The clear goal: to shape a future together with you, where quality comes before quantity. We have already stirred up the burger market with the Bio Burger Patties. And now it's all about the sausage - more precisely the bratwurst. We also want to conquer the domestic grills with our sausages."
Reception,reception,5eb60836ccd7e737544d7d7a,5eb7026a5712f90312de6a12,Sat May 09 2020 19:20:10 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 14:35:30 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 14:35:38 GMT+0000 (Coordinated Universal Time),google.com,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec2c7159a46038b94bf0138_avenue.png,Reception,no,ariane-hofer,"Google LLC is an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware."
Social responsibility,social-responsibility,5eb60836ccd7e737544d7d7a,5ec7c8d142bb04de24fb2197,Fri May 22 2020 12:42:57 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:42:57 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:43:59 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec7c84f2aa5ef3787e5bd14_pitch.png,Networking,no,ariane-hofer,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised"
SUNNYBAG GmbH,sunnybag,5eb60836ccd7e737544d7d7a,5eb609f128068c9542a93eab,Sat May 09 2020 01:40:01 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:36:30 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:40:15 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec6a3c4859651dc510f359a_sunnybag.png,Startup,no,stefan-ponsold; verena-haunold,"XYZ s an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware"
Sustainability,sustainability,5eb60836ccd7e737544d7d7a,5ec7c9094445f8006e9ef425,Fri May 22 2020 12:43:53 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:43:53 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:43:59 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec7c84f2aa5ef3787e5bd14_pitch.png,Networking,no,ariane-hofer,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised"
tecnet equity,tecnet-equity,5eb60836ccd7e737544d7d7a,5eb609f19bec97198109767f,Sat May 09 2020 01:40:01 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:15:02 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:16:49 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec55b08f28d3211725c0497_tecnet-equity-logo.jpg,Corporate,no,thomas-ecker; jugen-milde-ennockl; beatrice-weisgram,tecnet equity is the first point of contact for innovation-savvy research institutions and high-tech companies in Lower Austria. Our team of financial and scientific experts provides capital and offers reliable advice. tecnet equity is one of the leading equity funds for early-stage investments in Austria and manages a volume of EUR 50 m. 
TU Wien Space Team,tu-wien-space-team,5eb60836ccd7e737544d7d7a,5eb609f19bec97795309767e,Sat May 09 2020 01:40:01 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:34:44 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:40:15 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec697166bd1686b3365e34b_tu%20wien%20space%20team.png,Startup,no,moritz-novak,"The TU Vienna Space Team is a student's working group with focus on aerospace engineering at the Vienna University of Technology. We are engaged in the development of experimental rockets, engines, microsatellites and much more. We design all kinds of flying machines and manufacture the necessary components independently. With these functional devices we participate in international competitions or organize independent test series."
whatchado,whatchado,5eb60836ccd7e737544d7d7a,5eb609f18ea214ac356a5eba,Sat May 09 2020 01:40:01 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:35:28 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:40:15 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec6963db35bb5463b44f225_whatchado.png,Startup,no,vincent-amadeus-christa; alla-spieldiener,With us you will find the job of your dreams. Our vision is to make you happy by finding the job that fits you perfectly. Our job platform is both innovative and intuitive. We know that most job advertisements look very similar and don't give you any insight into the actual workday - that's why we have people talking openly about what's coolest about their job and the restrictions that come with it.
Workaround GmbH - ProGlove,workaround-proglove,5eb60836ccd7e737544d7d7a,5ec699bfa8a68ad4c19b9d86,Thu May 21 2020 15:09:51 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:34:29 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:40:15 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec69958940f14fd36252c41_ProGlove.png,Startup,no,tanja-elaine-andreh,"Scanning solutions that enable workers to influence industry 4.0 and digital transformation: We build industrial wearables that are the lightest, smallest and toughest barcode scanners in the world, connecting the workforce to actionable information within the IIoT."
